dataset,rf_better_metrics_count,significant_metrics_count
datasets\batlik\corona.csv,3,3
datasets\batlik\cranium.csv,3,3
datasets\batlik\cubus.csv,3,3
datasets\batlik\flame.csv,3,3
datasets\batlik\france.csv,3,3
datasets\batlik\frisco.csv,3,3
datasets\batlik\jelly.csv,3,3
datasets\batlik\karte.csv,3,3
datasets\batlik\mandelbrot.csv,3,3
datasets\batlik\strawberry.csv,3,3
datasets\batlik\village.csv,3,3
datasets\dconvert\jpeg-large.csv,3,3
datasets\dconvert\jpeg-medium.csv,3,3
datasets\dconvert\jpeg-small.csv,3,3
datasets\dconvert\png-large.csv,3,3
datasets\dconvert\png-medium.csv,3,3
datasets\dconvert\png-small.csv,0,0
datasets\dconvert\psd-large.csv,0,0
datasets\dconvert\psd-medium.csv,3,3
datasets\dconvert\psd-small.csv,0,0
datasets\dconvert\svg-large.csv,0,0
datasets\dconvert\svg-medium.csv,0,0
datasets\dconvert\svg-small.csv,3,3
datasets\jump3r\beethoven.wav.csv,3,3
datasets\jump3r\dual-channel.wav.csv,3,3
datasets\jump3r\helix.wav.csv,3,3
datasets\jump3r\single-channel.wav.csv,3,3
datasets\jump3r\speech.wav.csv,3,3
datasets\jump3r\sweep.wav.csv,3,3
datasets\kanzi\ambivert.csv,3,3
datasets\kanzi\artificl.csv,3,3
datasets\kanzi\deepfield.csv,3,3
datasets\kanzi\enwik8.csv,3,3
datasets\kanzi\fannie_mae_500k.csv,3,3
datasets\kanzi\large.csv,3,3
datasets\kanzi\misc.csv,3,3
datasets\kanzi\silesia.csv,3,3
datasets\kanzi\vmlinux.csv,3,3
datasets\lrzip\ambivert.wav.tar.csv,0,0
datasets\lrzip\artificl.tar.csv,3,3
datasets\lrzip\deepfield.tar.csv,0,0
datasets\lrzip\enwik8.tar.csv,0,0
datasets\lrzip\fannie_mae_500k.tar.csv,0,0
datasets\lrzip\large.tar.csv,0,0
datasets\lrzip\misc.tar.csv,3,2
datasets\lrzip\silesia.tar.csv,0,0
datasets\lrzip\uiq-32.bin.csv,0,0
datasets\lrzip\uiq2-16.bin.csv,0,0
datasets\lrzip\uiq2-4.bin.csv,0,0
datasets\lrzip\uiq2-8.bin.csv,0,0
datasets\lrzip\vmlinux-5.10.tar.csv,0,0
datasets\x264\Johnny_1280x720_60_short.y4m.csv,3,3
datasets\x264\Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m.csv,3,3
datasets\x264\blue_sky_1080p25_short.y4m.csv,3,3
datasets\x264\pedestrian_area_1080p25_short.y4m.csv,3,3
datasets\x264\riverbed_1080p25_short.y4m.csv,3,3
datasets\x264\sd_bridge_close_cif_short.y4m.csv,3,3
datasets\x264\sd_city_4cif_short.y4m.csv,3,3
datasets\x264\sd_crew_cif_short.y4m.csv,3,3
datasets\x264\sintel_trailer_2k_720p24_short.y4m.csv,3,3
datasets\xz\ambivert.wav.tar.csv,3,3
datasets\xz\artificl.tar.csv,0,0
datasets\xz\deepfield.tar.csv,3,3
datasets\xz\enwik8.tar.csv,3,3
datasets\xz\fannie_mae_500k.tar.csv,3,3
datasets\xz\large.tar.csv,3,3
datasets\xz\misc.tar.csv,3,3
datasets\xz\silesia.tar.csv,3,3
datasets\xz\uiq-32.bin.csv,3,3
datasets\xz\uiq2-16.bin.csv,3,3
datasets\xz\uiq2-4.bin.csv,3,3
datasets\xz\uiq2-8.bin.csv,3,3
datasets\xz\vmlinux-5.10.tar.csv,3,3
datasets\z3\AUFNIRA_z3.637557.smt2.csv,3,3
datasets\z3\LRA_formula_277.smt2.csv,3,3
datasets\z3\QF_AUFBV_891_sqlite3.smt2.csv,3,3
datasets\z3\QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2.csv,3,3
datasets\z3\QF_BV_bench_3176.smt2.csv,3,3
datasets\z3\QF_BV_bench_935.smt2.csv,3,3
datasets\z3\QF_LIA_tightrhombus.csv,3,3
datasets\z3\QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2.csv,3,3
datasets\z3\QF_NRA_hong_9.smt2.csv,0,0
datasets\z3\QF_RDL_orb08_888.smt2.csv,3,3
datasets\z3\QF_UFLIA_xs_23_43.smt2.csv,3,3
datasets\z3\QF_UF_PEQ018_size6.smt2.csv,3,3
