dataset,run,model,MAPE,MAE,RMSE
datasets\batlik\corona.csv,1,LinearRegression,0.1208400967599961,0.181673217505837,0.2597027969968522
datasets\batlik\corona.csv,1,RandomForest,0.03236630330591973,0.04740720486111139,0.06447602836331494
datasets\batlik\corona.csv,2,LinearRegression,0.11793299083240447,0.16938284292691538,0.24518608239581996
datasets\batlik\corona.csv,2,RandomForest,0.03410978806389198,0.049236371527777906,0.06583551588549864
datasets\batlik\corona.csv,3,LinearRegression,0.1229764302418743,0.1799177219999172,0.2606632356820733
datasets\batlik\corona.csv,3,RandomForest,0.03387729281552381,0.04926154513888898,0.06582398486499402
datasets\batlik\corona.csv,4,LinearRegression,0.11576193065029391,0.17608848159209625,0.26214728768223855
datasets\batlik\corona.csv,4,RandomForest,0.03402842808798821,0.04963897569444441,0.06640505038132133
datasets\batlik\corona.csv,5,LinearRegression,0.12099380096739745,0.18581706882452584,0.27126722218537264
datasets\batlik\corona.csv,5,RandomForest,0.033869542019430876,0.050638281250000076,0.06882483203277955
datasets\batlik\corona.csv,6,LinearRegression,0.1256172058025278,0.18829756919888319,0.27421368511834693
datasets\batlik\corona.csv,6,RandomForest,0.03354922431124594,0.04889019097222218,0.06656480267926262
datasets\batlik\corona.csv,7,LinearRegression,0.1168982080872529,0.18102186527550534,0.2680790495941351
datasets\batlik\corona.csv,7,RandomForest,0.03191713311648989,0.048235590277777914,0.0659215395375444
datasets\batlik\corona.csv,8,LinearRegression,0.1238847174231274,0.17380716753374204,0.2417712940258763
datasets\batlik\corona.csv,8,RandomForest,0.034403468827990835,0.049169270833333424,0.06604096562456532
datasets\batlik\corona.csv,9,LinearRegression,0.12352616387568692,0.18111269821509804,0.25576701130242235
datasets\batlik\corona.csv,9,RandomForest,0.03482308109882123,0.05010729166666691,0.06548249805927817
datasets\batlik\corona.csv,10,LinearRegression,0.1179414264536806,0.1738215160180064,0.25488264097026514
datasets\batlik\corona.csv,10,RandomForest,0.031532307508427386,0.0459252604166667,0.0633031656152339
datasets\batlik\corona.csv,11,LinearRegression,0.12340358467166695,0.18208388838137182,0.26200248380279706
datasets\batlik\corona.csv,11,RandomForest,0.03274339204017048,0.04715642361111116,0.06434242507809736
datasets\batlik\corona.csv,12,LinearRegression,0.11940907938959411,0.17543193079634653,0.25134939702261117
datasets\batlik\corona.csv,12,RandomForest,0.033838232358150186,0.049838020833333295,0.06683934537589199
datasets\batlik\corona.csv,13,LinearRegression,0.11784626940167318,0.17954083127117743,0.26173069805598936
datasets\batlik\corona.csv,13,RandomForest,0.033330201315129544,0.04852638888888889,0.06555970322919402
datasets\batlik\corona.csv,14,LinearRegression,0.12206418794578403,0.18327482277641544,0.263177456806992
datasets\batlik\corona.csv,14,RandomForest,0.03348993866250146,0.04867960069444449,0.06412618105231405
datasets\batlik\corona.csv,15,LinearRegression,0.12425771074117017,0.178326769977029,0.24828832213111085
datasets\batlik\corona.csv,15,RandomForest,0.03221627073039173,0.04526987847222216,0.05987271238525993
datasets\batlik\corona.csv,16,LinearRegression,0.12175299658257933,0.18719568382222723,0.2756038939837294
datasets\batlik\corona.csv,16,RandomForest,0.034415386465154,0.05100269097222218,0.06932225707174308
datasets\batlik\corona.csv,17,LinearRegression,0.1185000671289204,0.17626278250983868,0.2555944962319349
datasets\batlik\corona.csv,17,RandomForest,0.03229298547036774,0.04669661458333325,0.0628454331505634
