dataset,model,metric,mean,std,median,min,max
datasets\batlik\corona.csv,LinearRegression,MAPE,0.12122445298691269,0.003911199105625847,0.12077534233864283,0.11576193065029391,0.13611101300736392
datasets\batlik\corona.csv,LinearRegression,MAE,0.18082808106657783,0.0054265587380407316,0.18049548540014823,0.16938284292691538,0.19504128253350805
datasets\batlik\corona.csv,LinearRegression,RMSE,0.26145885822174464,0.009409251146385321,0.26186659092939324,0.2417712940258763,0.28495866864983715
datasets\batlik\corona.csv,RandomForest,MAPE,0.03334943683641242,0.0008722928529115466,0.03355301005129671,0.031532307508427386,0.03482308109882123
datasets\batlik\corona.csv,RandomForest,MAE,0.04865575231481487,0.0014037118901039506,0.04879717881944443,0.04526987847222216,0.05100269097222218
datasets\batlik\corona.csv,RandomForest,RMSE,0.06539985858172649,0.0019708265994400386,0.06560905291973584,0.05987271238525993,0.06932225707174308
datasets\batlik\cranium.csv,LinearRegression,MAPE,0.0334145252864677,0.0010699446134254883,0.03330768569471234,0.03158528674915276,0.036187917845383395
datasets\batlik\cranium.csv,LinearRegression,MAE,0.06973344469854229,0.0022498503127101415,0.06972948750226145,0.06585145961879163,0.07394448990009196
datasets\batlik\cranium.csv,LinearRegression,RMSE,0.09736920428646739,0.0031850200597930514,0.09741495965070288,0.09148423069161128,0.10316920718148632
datasets\batlik\cranium.csv,RandomForest,MAPE,0.020125191624664397,0.0005239480358275357,0.02014745886131409,0.019113897412223736,0.021392651759741605
datasets\batlik\cranium.csv,RandomForest,MAE,0.04043070891203705,0.0010479012650893977,0.0404573350694445,0.0385224826388889,0.042994704861111094
datasets\batlik\cranium.csv,RandomForest,RMSE,0.052578240350500585,0.0012970999493442214,0.052617890498277115,0.05002582661978764,0.055140440053923
datasets\batlik\cubus.csv,LinearRegression,MAPE,0.039400038913651486,0.0009942441529934244,0.03933425242440339,0.0379274360954219,0.04150889057209792
datasets\batlik\cubus.csv,LinearRegression,MAE,0.24311697465707077,0.006639814352390809,0.24338335365559802,0.2324400442821156,0.2572355671957183
