dataset,metric,lr_mean,rf_mean,wilcoxon_stat,p_value,significant_at_0_05
datasets\batlik\corona.csv,MAPE,0.12122445298691269,0.03334943683641242,465.0,9.313225746154785e-10,True
datasets\batlik\corona.csv,MAE,0.18082808106657783,0.04865575231481487,465.0,9.313225746154785e-10,True
datasets\batlik\corona.csv,RMSE,0.26145885822174464,0.06539985858172649,465.0,9.313225746154785e-10,True
datasets\batlik\cranium.csv,MAPE,0.0334145252864677,0.020125191624664397,465.0,9.313225746154785e-10,True
datasets\batlik\cranium.csv,MAE,0.06973344469854229,0.04043070891203705,465.0,9.313225746154785e-10,True
datasets\batlik\cranium.csv,RMSE,0.09736920428646739,0.052578240350500585,465.0,9.313225746154785e-10,True
datasets\batlik\cubus.csv,MAPE,0.039400038913651486,0.018833103785774585,465.0,9.313225746154785e-10,True
datasets\batlik\cubus.csv,MAE,0.24311697465707077,0.11696325810185204,465.0,9.313225746154785e-10,True
datasets\batlik\cubus.csv,RMSE,0.3332129957752505,0.15050691599766028,465.0,9.313225746154785e-10,True
datasets\batlik\flame.csv,MAPE,0.03211198980204419,0.020175709235044286,465.0,9.313225746154785e-10,True
datasets\batlik\flame.csv,MAE,0.05800921017569582,0.03650678240740752,465.0,9.313225746154785e-10,True
datasets\batlik\flame.csv,RMSE,0.07705552343394809,0.046831028816505776,465.0,9.313225746154785e-10,True
datasets\batlik\france.csv,MAPE,0.03971469687640581,0.022665844773728745,465.0,9.313225746154785e-10,True
datasets\batlik\france.csv,MAE,0.1461728543084523,0.07970489583333339,465.0,9.313225746154785e-10,True
datasets\batlik\france.csv,RMSE,0.19254590500180996,0.10231647254815705,465.0,9.313225746154785e-10,True
datasets\batlik\frisco.csv,MAPE,0.05099592401875642,0.032506749215989596,465.0,9.313225746154785e-10,True
datasets\batlik\frisco.csv,MAE,0.24728585205219836,0.1503158449074074,465.0,9.313225746154785e-10,True
datasets\batlik\frisco.csv,RMSE,0.3323027163876179,0.19008852611639304,465.0,9.313225746154785e-10,True
datasets\batlik\jelly.csv,MAPE,0.17029317381625592,0.022981072253046252,465.0,9.313225746154785e-10,True
datasets\batlik\jelly.csv,MAE,0.3246416653816159,0.04326756365740748,465.0,9.313225746154785e-10,True
datasets\batlik\jelly.csv,RMSE,0.4448005105849153,0.07158584383410843,465.0,9.313225746154785e-10,True
datasets\batlik\karte.csv,MAPE,0.15050713546295216,0.01920970523004593,465.0,9.313225746154785e-10,True
datasets\batlik\karte.csv,MAE,1.4906865291353066,0.24023704571759244,465.0,9.313225746154785e-10,True
datasets\batlik\karte.csv,RMSE,1.8639716634658658,0.32150786269342463,465.0,9.313225746154785e-10,True
datasets\batlik\mandelbrot.csv,MAPE,0.04643506108609332,0.02142439283132008,465.0,9.313225746154785e-10,True
datasets\batlik\mandelbrot.csv,MAE,0.061533943415440516,0.027706863425925918,465.0,9.313225746154785e-10,True
datasets\batlik\mandelbrot.csv,RMSE,0.08430974811023496,0.036156884829353746,465.0,9.313225746154785e-10,True
datasets\batlik\strawberry.csv,MAPE,0.054608036841756476,0.023646081043850107,465.0,9.313225746154785e-10,True
datasets\batlik\strawberry.csv,MAE,0.09398711927692403,0.03801903645833329,465.0,9.313225746154785e-10,True
datasets\batlik\strawberry.csv,RMSE,0.13099531297383124,0.048465288139339445,465.0,9.313225746154785e-10,True
datasets\batlik\village.csv,MAPE,0.5676583802005821,0.02240971305295638,465.0,9.313225746154785e-10,True
datasets\batlik\village.csv,MAE,1.7998877632387822,0.10268096354166677,465.0,9.313225746154785e-10,True
datasets\batlik\village.csv,RMSE,2.4710024915099127,0.292328867148546,465.0,9.313225746154785e-10,True
datasets\dconvert\jpeg-large.csv,MAPE,0.1356742312573292,0.02791588309010089,465.0,9.313225746154785e-10,True
